"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"01/01/2009","17,483.0","17,480.0","17,483.0","17,480.0","0.00%"
"02/01/2009","17,479.0","17,420.0","17,535.0","17,400.0","-0.02%"
"05/01/2009","17,472.0","17,480.0","17,540.0","17,400.0","-0.04%"
"06/01/2009","17,477.5","17,400.0","17,531.5","17,400.0","0.03%"
"07/01/2009","17,478.5","17,400.0","17,532.5","17,400.0","0.01%"
"08/01/2009","17,472.0","17,460.0","17,577.0","17,410.0","-0.04%"
"09/01/2009","17,476.0","17,472.0","17,536.0","17,420.0","0.02%"
"12/01/2009","17,479.0","17,470.0","17,485.0","17,450.0","0.02%"
"13/01/2009","17,476.0","17,500.0","17,556.0","17,420.0","-0.02%"
"14/01/2009","17,479.0","17,475.0","17,485.0","17,450.0","0.02%"
"15/01/2009","17,480.0","17,475.0","17,481.0","17,450.0","0.01%"
"16/01/2009","17,478.5","17,475.0","17,480.5","17,420.0","-0.01%"
"19/01/2009","17,472.5","17,475.0","17,536.5","17,415.0","-0.03%"
"20/01/2009","17,472.5","17,470.0","17,538.5","17,415.0","0.00%"
"21/01/2009","17,520.0","17,480.0","17,570.0","17,430.0","0.27%"
"22/01/2009","17,472.5","17,475.0","17,539.5","17,415.0","-0.27%"
"23/01/2009","17,477.0","17,480.0","17,486.0","17,420.0","0.03%"
"26/01/2009","17,477.0","17,472.0","17,477.0","17,472.0","0.00%"
"27/01/2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"28/01/2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"29/01/2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"30/01/2009","17,484.5","17,475.0","17,533.5","17,422.0","0.04%"
"02/02/2009","17,484.5","17,480.0","17,536.5","17,434.0","0.00%"
"03/02/2009","17,484.5","17,482.0","17,575.5","17,426.0","0.00%"
"04/02/2009","17,484.5","17,487.0","17,537.5","17,434.0","0.00%"
"05/02/2009","17,484.5","17,487.0","17,538.5","17,434.0","0.00%"
"06/02/2009","17,484.5","17,485.0","17,538.5","17,434.0","0.00%"
"09/02/2009","17,469.0","17,500.0","17,515.0","17,454.0","-0.09%"
"10/02/2009","17,483.0","17,483.0","17,537.0","17,430.0","0.08%"
"11/02/2009","17,485.5","17,485.0","17,536.5","17,435.0","0.01%"
"12/02/2009","17,483.0","17,484.0","17,538.0","17,430.0","-0.01%"
"13/02/2009","17,484.0","17,487.0","17,579.0","17,430.0","0.01%"
"16/02/2009","17,484.0","17,489.0","17,579.0","17,430.0","0.00%"
"17/02/2009","17,487.5","17,470.0","17,540.5","17,435.0","0.02%"
"18/02/2009","17,483.5","17,470.0","17,539.5","17,430.0","-0.02%"
"19/02/2009","17,483.5","17,485.0","17,563.5","17,430.0","0.00%"
"20/02/2009","17,481.5","17,481.0","17,486.5","17,430.0","-0.01%"
"23/02/2009","17,483.5","17,479.0","17,533.5","17,430.0","0.01%"
"24/02/2009","17,479.0","17,475.0","17,530.0","17,428.0","-0.03%"
"25/02/2009","17,481.5","17,480.0","17,532.5","17,430.0","0.01%"
"26/02/2009","17,481.5","17,481.0","17,533.5","17,430.0","0.00%"
"27/02/2009","17,480.5","17,478.0","17,531.5","17,428.0","-0.01%"
"02/03/2009","17,480.5","17,479.0","17,532.5","17,428.0","0.00%"
"03/03/2009","17,480.5","17,428.0","17,530.5","17,428.0","0.00%"
"04/03/2009","17,475.5","17,476.0","17,480.5","17,428.0","-0.03%"
"05/03/2009","17,479.0","17,478.0","17,480.0","17,450.0","0.02%"
"06/03/2009","17,481.0","17,477.0","17,532.0","17,430.0","0.01%"
"09/03/2009","17,481.0","17,479.0","17,531.0","17,430.0","0.00%"
"10/03/2009","17,481.0","17,482.0","17,536.0","17,428.0","0.00%"
"11/03/2009","17,485.0","17,480.0","17,536.0","17,434.0","0.02%"
"12/03/2009","17,485.5","17,484.0","17,535.5","17,432.0","0.00%"
"13/03/2009","17,483.0","17,482.0","17,533.0","17,432.0","-0.01%"
"16/03/2009","17,483.0","17,483.0","17,534.0","17,432.0","0.00%"
"17/03/2009","17,484.0","17,483.0","17,537.0","17,432.0","0.01%"
"18/03/2009","17,484.0","17,483.0","17,536.0","17,432.0","0.00%"
"19/03/2009","17,530.0","17,480.0","17,580.0","17,457.0","0.26%"
"20/03/2009","17,487.5","17,480.0","17,541.5","17,435.0","-0.24%"
"23/03/2009","17,488.0","17,485.0","17,540.0","17,436.0","0.00%"
