,Exchange Rate,Oil price,Gold price,VN Index,S&P500
2012-01-01,21016.5,98.01667,1686.6666,377.63,1301.9266
2012-01-02,21008.0,97.61,1747.1,390.67,1324.09
2012-01-03,20845.0,108.84,1721.1,427.95,1374.09
2012-01-04,20855.0,107.5,1691.3999,428.23334,1389.955
2012-01-05,20865.0,106.16,1661.7,428.51666,1405.82
2012-01-06,20865.0,83.23,1620.5,428.8,1278.04
2012-01-07,20862.5,86.07001,1612.1,420.675,1326.5901
2012-01-08,20860.0,88.91,1603.7,412.55,1375.14
2012-01-09,20871.25,90.69501,1692.1,399.55,1409.815
2012-01-10,20882.5,92.48,1780.5,386.55,1444.49
2012-01-11,20850.0,87.09,1714.1,387.95,1427.59
2012-01-12,20941.75,92.895,1672.25,371.14,1358.34
2012-01-13,21033.5,98.7,1630.4,354.33,1289.09
2012-01-14,21028.334,99.2025,1636.6,355.50998,1290.235
2012-01-15,21023.166,99.705,1642.8,356.69,1291.38
2012-01-16,21018.0,100.2075,1649.0,357.87,1292.525
2012-01-17,21018.0,100.71,1655.2,358.86,1293.67
2012-01-18,20930.0,100.59,1659.5,362.66,1308.04
2012-01-19,20900.0,100.39,1654.1,373.43,1314.5
2012-01-20,20870.0,98.46,1663.7,373.0,1315.38
2012-01-21,20870.0,98.833336,1668.4667,374.194,1315.5867
2012-01-22,20870.0,99.206665,1673.2333,375.388,1315.7933
2012-01-23,20870.0,99.58,1678.0,376.582,1316.0
2012-01-24,20870.0,98.95,1664.2,377.776,1314.65
2012-01-25,20900.0,99.4,1699.8,378.97,1326.05
2012-01-26,20900.0,99.7,1726.3,380.164,1318.43
2012-01-27,20900.0,99.56,1731.8,381.358,1316.33
2012-01-28,20922.666,99.299995,1731.5333,382.552,1315.2233
2012-01-29,20945.334,99.04,1731.2667,383.746,1314.1167
2012-01-30,20968.0,98.78,1731.0,384.94,1313.01
2012-01-31,21018.0,98.48,1737.8,387.97,1312.41
2012-02-01,21033.5,97.42,1747.3,394.78998,1318.9751
2012-02-02,20985.0,96.36,1756.8,401.61,1325.54
2012-02-03,20830.0,106.7,1708.8,439.6,1369.63
2012-02-04,20850.0,105.23,1677.5,456.03,1419.04
2012-02-05,20855.0,105.22,1653.4,472.46,1402.31
2012-02-06,20875.0,94.485,1625.3,445.88,1383.91
2012-02-07,20895.0,83.75,1597.2,419.3,1365.51
2012-02-08,20865.0,87.13,1587.4,416.1,1365.0
2012-02-09,20875.0,89.509995,1680.05,400.21002,1405.375
2012-02-10,20885.0,91.89,1772.7,384.32,1445.75
2012-02-11,20850.0,84.86,1674.1,375.26,1414.2
2012-02-12,20852.5,92.885,1698.55,385.40002,1382.985
2012-02-13,20855.0,100.91,1723.0,395.54,1351.77
2012-02-14,20860.0,100.74,1715.9,400.26,1350.5
